Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00282: path_length=21.08, steps=200
ep_00283: path_length=22.37, steps=200
ep_00284: path_length=21.58, steps=200
ep_00285: path_length=20.46, steps=200
ep_00286: path_length=20.79, steps=200
ep_00287: path_length=21.15, steps=200
ep_00288: path_length=23.28, steps=200
ep_00289: path_length=21.50, steps=200
ep_00290: path_length=21.35, steps=200
ep_00291: path_length=22.15, steps=200
ep_00292: path_length=22.30, steps=200
ep_00293: path_length=20.81, steps=200
ep_00294: path_length=21.65, steps=200
ep_00295: path_length=22.56, steps=200
ep_00296: path_length=21.67, steps=200
ep_00297: path_length=22.17, steps=200
ep_00298: path_length=21.53, steps=200
ep_00299: path_length=22.26, steps=200
ep_00300: path_length=22.98, steps=200
ep_00301: path_length=22.21, steps=200
ep_00302: path_length=26.48, steps=200
ep_00303: path_length=0.00, steps=200
ep_00304: path_length=0.00, steps=200
ep_00305: path_length=21.18, steps=200
ep_00306: path_length=22.63, steps=200
ep_00307: path_length=22.59, steps=200
ep_00308: path_length=22.64, steps=200
ep_00309: path_length=20.24, steps=200
ep_00310: path_length=22.81, steps=200
ep_00311: path_length=20.70, steps=200
ep_00312: path_length=19.76, steps=200
ep_00313: path_length=22.78, steps=200
ep_00314: path_length=22.91, steps=200
ep_00315: path_length=20.28, steps=200
ep_00316: path_length=20.65, steps=200
ep_00317: path_length=21.03, steps=200
ep_00318: path_length=21.83, steps=200
ep_00319: path_length=21.12, steps=200
ep_00320: path_length=21.39, steps=200
ep_00321: path_length=22.16, steps=200
ep_00322: path_length=21.31, steps=200
ep_00323: path_length=22.60, steps=200
ep_00324: path_length=22.77, steps=200
ep_00325: path_length=23.11, steps=200
ep_00326: path_length=24.05, steps=200
ep_00327: path_length=23.67, steps=200
ep_00328: path_length=21.45, steps=200
ep_00329: path_length=23.93, steps=200
ep_00330: path_length=22.15, steps=200
ep_00331: path_length=22.08, steps=200
ep_00332: path_length=22.15, steps=200
ep_00333: path_length=23.21, steps=200
ep_00334: path_length=21.07, steps=200
ep_00335: path_length=24.04, steps=200
ep_00336: path_length=23.65, steps=200
ep_00337: path_length=20.58, steps=200
ep_00338: path_length=20.01, steps=200
ep_00339: path_length=21.53, steps=200
ep_00340: path_length=20.93, steps=200
ep_00341: path_length=20.15, steps=200
ep_00342: path_length=22.08, steps=200
ep_00343: path_length=22.51, steps=200
ep_00344: path_length=22.40, steps=200
ep_00345: path_length=21.65, steps=200
ep_00346: path_length=19.78, steps=200
ep_00347: path_length=20.52, steps=200
ep_00348: path_length=20.85, steps=200
ep_00349: path_length=22.61, steps=200
ep_00350: path_length=22.75, steps=200
ep_00351: path_length=21.98, steps=200
ep_00352: path_length=20.29, steps=200
ep_00353: path_length=22.39, steps=200
ep_00354: path_length=20.61, steps=200
ep_00355: path_length=21.02, steps=200
ep_00356: path_length=20.87, steps=200
ep_00357: path_length=20.67, steps=200
ep_00358: path_length=23.18, steps=200
ep_00359: path_length=22.08, steps=200
ep_00360: path_length=19.94, steps=200
ep_00361: path_length=22.45, steps=200
ep_00362: path_length=22.63, steps=200
ep_00363: path_length=23.74, steps=200
ep_00364: path_length=21.33, steps=200
ep_00365: path_length=21.95, steps=200
ep_00366: path_length=21.61, steps=200
ep_00367: path_length=21.96, steps=200
ep_00368: path_length=23.92, steps=200
ep_00369: path_length=22.99, steps=200
ep_00370: path_length=21.05, steps=200
ep_00371: path_length=22.13, steps=200
ep_00372: path_length=21.93, steps=200
ep_00373: path_length=21.95, steps=200
ep_00374: path_length=21.70, steps=200
ep_00375: path_length=20.72, steps=200
ep_00376: path_length=23.05, steps=200
ep_00377: path_length=22.17, steps=200
ep_00378: path_length=23.31, steps=200
ep_00379: path_length=22.16, steps=200
ep_00380: path_length=21.39, steps=200
ep_00381: path_length=20.64, steps=200
ep_00382: path_length=21.75, steps=200
ep_00383: path_length=22.08, steps=200
ep_00384: path_length=21.38, steps=200
ep_00385: path_length=21.05, steps=200
ep_00386: path_length=21.93, steps=200
ep_00387: path_length=21.23, steps=200
ep_00388: path_length=23.09, steps=200
ep_00389: path_length=20.57, steps=200
ep_00390: path_length=21.31, steps=200
ep_00391: path_length=21.60, steps=200
ep_00392: path_length=21.27, steps=200
ep_00393: path_length=19.58, steps=200
ep_00394: path_length=22.63, steps=200
ep_00395: path_length=22.30, steps=200
ep_00396: path_length=22.36, steps=200
ep_00397: path_length=22.95, steps=200
ep_00398: path_length=22.47, steps=200
ep_00399: path_length=21.33, steps=200
ep_00400: path_length=21.11, steps=200
ep_00401: path_length=22.76, steps=200
ep_00402: path_length=24.27, steps=200
ep_00403: path_length=22.37, steps=200
ep_00404: path_length=22.12, steps=200
ep_00405: path_length=22.13, steps=200
ep_00406: path_length=21.18, steps=200
ep_00407: path_length=21.56, steps=200
ep_00408: path_length=21.11, steps=200
ep_00409: path_length=22.17, steps=200
ep_00410: path_length=22.96, steps=200
ep_00411: path_length=23.90, steps=200
ep_00412: path_length=20.84, steps=200
ep_00413: path_length=23.09, steps=200
ep_00414: path_length=22.57, steps=200
ep_00415: path_length=21.50, steps=200
ep_00416: path_length=22.55, steps=200
ep_00417: path_length=22.38, steps=200
ep_00418: path_length=20.60, steps=200
ep_00419: path_length=21.39, steps=200
ep_00420: path_length=20.65, steps=200
ep_00421: path_length=20.57, steps=200
ep_00422: path_length=23.28, steps=200
ep_00423: path_length=22.50, steps=200
ep_00424: path_length=23.30, steps=200
ep_00425: path_length=24.18, steps=200
ep_00426: path_length=22.50, steps=200
ep_00427: path_length=20.29, steps=200
ep_00428: path_length=22.28, steps=200
ep_00429: path_length=22.15, steps=200
ep_00430: path_length=20.16, steps=200
ep_00431: path_length=21.83, steps=200
ep_00432: path_length=22.49, steps=200
